gene_id	cell_type
NAV3	vGLUT_enriched
NBAS	vGLUT_enriched
NCAPH2	vGLUT_enriched
NCS1	vGLUT_enriched
NDRG2	vGLUT_enriched
NDUFA8	vGLUT_enriched
NDUFB8	vGLUT_enriched
NDUFB9	vGLUT_enriched
NDUFV1	vGLUT_enriched
NEK9	vGLUT_enriched
NEURL4	vGLUT_enriched
NFATC3	vGLUT_enriched
NPLOC4	vGLUT_enriched
NRARP	vGLUT_enriched
NUDCD1	vGLUT_enriched
NUP160	vGLUT_enriched
OAZ1	vGLUT_enriched
PAN3	vGLUT_enriched
PAPSS1	vGLUT_enriched
PARP6	vGLUT_enriched
PDZD4	vGLUT_enriched
PEX5	vGLUT_enriched
PGM1	vGLUT_enriched
PHF21A	vGLUT_enriched
PHKA1	vGLUT_enriched
PHKB	vGLUT_enriched
PI4KA	vGLUT_enriched
PI4KB	vGLUT_enriched
PIK3C2A	vGLUT_enriched
PIK3C2B	vGLUT_enriched
PKIG	vGLUT_enriched
PLEC	vGLUT_enriched
PLEKHB2	vGLUT_enriched
PLEKHM2	vGLUT_enriched
PMS1	vGLUT_enriched
POLR3H	vGLUT_enriched
PPFIA1	vGLUT_enriched
PPFIA3	vGLUT_enriched
PPM1F	vGLUT_enriched
PPP1CA	vGLUT_enriched
PPP1R11	vGLUT_enriched
PPP1R16B	vGLUT_enriched
PPP1R1A	vGLUT_enriched
PPP1R3C	vGLUT_enriched
PPP2R2C	vGLUT_enriched
PPP3CC	vGLUT_enriched
PRDM5	vGLUT_enriched
PRDX6	vGLUT_enriched
PREX1	vGLUT_enriched
PTK2	vGLUT_enriched
PYGB	vGLUT_enriched
PYGM	vGLUT_enriched
QRICH1	vGLUT_enriched
R3HCC1L	vGLUT_enriched
R3HDM4	vGLUT_enriched
RAB11FIP4	vGLUT_enriched
RAB31	vGLUT_enriched
RABGEF1	vGLUT_enriched
RAD52	vGLUT_enriched
RALGAPA2	vGLUT_enriched
RAP1GAP2	vGLUT_enriched
RAPGEF4	vGLUT_enriched
RAVER2	vGLUT_enriched
RBFOX2	vGLUT_enriched
RBM4	vGLUT_enriched
REPS1	vGLUT_enriched
RERE	vGLUT_enriched
RIMS1	vGLUT_enriched
RIMS2	vGLUT_enriched
RIMS3	vGLUT_enriched
RND2	vGLUT_enriched
RNF10	vGLUT_enriched
RNF114	vGLUT_enriched
RNF220	vGLUT_enriched
RNF31	vGLUT_enriched
RPL10	vGLUT_enriched
RPL10A	vGLUT_enriched
RPL12	vGLUT_enriched
RPL13	vGLUT_enriched
RPL13A	vGLUT_enriched
RPL18	vGLUT_enriched
RPL18A	vGLUT_enriched
RPL19	vGLUT_enriched
RPL28	vGLUT_enriched
RPL3	vGLUT_enriched
RPL37	vGLUT_enriched
RPL37A	vGLUT_enriched
RPL38	vGLUT_enriched
RPL8	vGLUT_enriched
RPL9	vGLUT_enriched
RPLP0	vGLUT_enriched
RPLP2	vGLUT_enriched
RPRD1B	vGLUT_enriched
RPS10	vGLUT_enriched
RPS11	vGLUT_enriched
RPS14	vGLUT_enriched
RPS15	vGLUT_enriched
RPS16	vGLUT_enriched
RPS18	vGLUT_enriched
RPS19	vGLUT_enriched
RPS2	vGLUT_enriched
RPS20	vGLUT_enriched
RPS23	vGLUT_enriched
RPS27A	vGLUT_enriched
RPS28	vGLUT_enriched
RPS3	vGLUT_enriched
RPS5	vGLUT_enriched
RPS6KA4	vGLUT_enriched
RPS6KC1	vGLUT_enriched
RPS7	vGLUT_enriched
RPS8	vGLUT_enriched
RPSA	vGLUT_enriched
RTTN	vGLUT_enriched
S100A6	vGLUT_enriched
SARDH	vGLUT_enriched
SAT1	vGLUT_enriched
SBF1	vGLUT_enriched
